iter	Passed	Remaining
144	327	1928
145	328	1918
146	329	1911
147	330	1904
148	332	1897
149	333	1888
150	334	1881
151	335	1874
152	337	1866
153	337	1856
154	339	1848
155	340	1841
156	341	1831
157	342	1824
158	343	1817
159	344	1808
160	345	1798
161	346	1790
162	347	1785
163	348	1778
164	350	1774
165	351	1767
166	352	1759
167	353	1751
168	354	1744
169	355	1736
170	356	1729
171	357	1722
172	358	1714
173	359	1706
174	360	1698
175	361	1692
176	362	1687
177	364	1681
178	365	1675
179	366	1667
180	366	1660
181	367	1653
182	369	1647
183	370	1641
184	371	1634
185	372	1628
186	372	1621
187	373	1614
188	374	1608
189	375	1602
190	376	1596
191	377	1590
192	379	1586
193	381	1582
194	382	1577
195	383	1571
196	383	1565
197	384	1559
198	385	1553
199	387	1548
200	388	1543
201	389	1538
202	390	1533
203	391	1526
204	391	1520
205	393	1516
206	394	1512
207	395	1506
208	396	1501
209	397	1495
210	398	1490
211	400	1487
212	401	1482
213	401	1476
214	402	1470
215	403	1465
216	404	1460
217	405	1455
218	406	1450
219	407	1445
220	408	1440
221	409	1436
222	410	1430
223	411	1424
224	412	1419
225	413	1415
226	414	1411
227	415	1406
228	416	1401
229	417	1398
230	418	1393
231	419	1389
232	420	1384
233	421	1380
234	422	1375
235	423	1372
236	426	1371
237	427	1368
238	428	1363
239	429	1359
240	430	1354
241	431	1350
242	432	1346
243	433	1341
244	434	1337
245	434	1333
246	436	1329
247	437	1325
248	439	1324
249	440	1322
250	441	1317
251	442	1313
252	443	1308
253	444	1305
254	445	1301
255	446	1297
256	447	1292
257	448	1288
258	448	1284
259	449	1280
260	450	1276
261	452	1273
262	453	1271
263	454	1267
264	455	1264
265	456	1260
266	457	1256
267	458	1253
268	460	1250
269	461	1246
270	462	1243
271	463	1239
272	464	1236
273	465	1232
274	466	1228
275	467	1225
276	468	1222
277	469	1219
278	471	1217
279	472	1214
280	473	1210
281	473	1206
282	474	1202
283	475	1198
284	476	1194
285	477	1191
286	478	1187
287	478	1183
288	479	1180
289	480	1177
290	481	1173
291	482	1170
292	484	1167
293	485	1165
294	486	1162
295	487	1158
296	488	1155
297	489	1152
298	490	1149
299	491	1146
300	492	1143
301	493	1139
302	493	1136
303	494	1132
304	495	1129
305	496	1126
306	497	1123
307	498	1119
308	499	1117
309	500	1114
310	501	1111
311	502	1108
312	503	1105
313	504	1101
314	505	1098
315	506	1095
316	507	1092
317	508	1090
318	509	1087
319	510	1084
320	511	1082
321	512	1080
322	514	1077
323	515	1075
324	517	1073
325	518	1071
326	519	1068
327	520	1066
328	521	1063
329	522	1060
330	523	1057
331	524	1054
332	525	1051
333	526	1049
334	527	1046
335	528	1044
336	529	1041
337	530	1039
338	531	1036
339	532	1033
340	533	1031
341	534	1029
342	535	1026
343	536	1023
344	537	1020
345	538	1017
346	539	1014
347	540	1012
348	541	1009
349	542	1007
350	543	1004
351	544	1002
352	545	999
353	546	996
354	547	994
355	548	992
356	549	989
357	550	987
358	551	984
359	552	982
360	553	980
361	554	977
362	555	975
363	556	972
364	557	969
365	558	967
366	559	965
367	560	962
368	561	960
369	562	957
370	563	955
371	564	952
372	565	949
373	566	947
374	566	944
375	567	942
376	568	939
377	569	937
378	570	935
379	571	932
380	573	931
381	574	929
382	575	926
383	576	924
384	577	922
385	578	920
386	579	917
387	580	915
388	581	912
389	582	911
390	583	909
391	584	907
392	586	905
393	586	902
394	587	900
395	588	898
396	589	895
397	591	894
398	592	891
399	593	889
400	594	887
401	594	884
402	596	883
403	597	881
404	598	879
405	599	876
406	600	874
407	600	871
408	601	869
409	602	867
410	603	865
411	605	863
412	606	861
413	607	859
414	608	857
415	609	855
416	609	852
417	610	850
418	611	847
419	612	845
420	613	843
421	614	841
422	615	839
423	616	836
424	616	834
425	617	832
426	618	830
427	619	828
428	620	825
429	621	823
430	622	821
431	623	819
432	624	817
433	625	815
434	625	812
435	626	810
436	627	808
437	628	805
438	629	803
439	629	801
440	630	799
441	631	797
442	632	795
443	633	793
444	634	791
445	636	790
446	636	787
447	637	785
448	638	783
449	639	781
450	640	779
451	641	777
452	642	775
453	643	773
454	644	771
455	644	769
456	645	767
457	646	765
458	647	763
459	648	761
460	649	759
461	650	757
462	651	755
463	652	753
464	653	751
465	653	749
466	654	747
467	655	745
468	656	743
469	657	741
470	658	739
471	659	737
